"","weight","height","male","educ","physical","stamps","white","black"
"662",129,57,0,8,2,1,1,0
"663",155,66,0,16,2,0,1,0
"664",213,65,0,12,2,0,1,0
"665",190,71,1,12,3,0,1,0
"666",112,60,0,10,1,0,1,0
"667",165,71,1,8,3,0,1,0
"668",170,64,0,8,4,0,1,0
"669",145,62,0,9,1,0,1,0
"670",200,73,1,8,3,0,0,1
"671",156,62,0,10,1,0,1,0
"672",139,65,0,17,2,0,1,0
"673",115,61,0,15,2,0,1,0
"674",170,66,0,12,3,0,1,0
"675",170,65,0,8,1,0,1,0
"676",127,67,0,17,5,0,1,0
"677",202,68,1,16,3,0,1,0
"678",175,63,0,12,5,0,1,0
"679",160,63,0,17,1,0,0,1
"680",210,71,0,16,1,0,0,1
"681",170,70,1,12,1,0,0,1
"682",125,61,0,10,3,1,1,0
"683",147,60,0,12,3,0,0,0
"684",108,69,0,9,1,1,1,0
"685",160,71,1,12,5,0,1,0
"686",104,64,0,14,1,0,1,0
"687",170,67,1,12,1,0,1,0
"688",188,71,1,14,4,0,1,0
"689",225,67,0,12,3,0,1,0
"690",207,66,0,8,1,0,0,1
"691",115,62,0,14,3,0,1,0
"692",187,75,1,16,5,0,1,0
"693",108,60,0,12,3,0,1,0
"694",150,67,0,6,3,0,1,0
"695",200,62,0,13,1,0,1,0
"696",240,65,0,6,4,0,0,1
"697",136,62,0,6,3,1,0,1
"698",117,61,0,12,5,0,1,0
"699",198,66,0,16,3,0,1,0
"700",155,67,1,12,1,0,1,0
"701",192,63,0,15,4,0,1,0
"702",150,67,0,17,4,0,1,0
"703",150,66,0,9,3,0,1,0
"704",101,63,0,16,4,0,1,0
"705",130,66,0,12,3,0,1,0
"706",161,62,0,12,5,0,0,1
"707",221,66,0,12,3,1,0,1
"708",145,67,0,12,1,0,0,1
"709",175,67,0,14,1,0,1,0
"710",185,61,0,3,1,0,0,1
"711",178,70,0,12,1,0,1,0
"712",165,62,1,12,1,0,0,0
"713",128,60,0,10,1,0,1,0
"714",135,68,0,16,1,0,1,0
"715",140,68,1,17,4,0,1,0
"716",155,66,0,11,4,0,1,0
"717",140,64,0,14,1,0,1,0
"718",210,59,0,12,1,0,0,1
"719",125,60,0,12,5,0,1,0
"720",170,65,0,12,3,0,1,0
"721",120,64,0,14,3,0,0,1
"722",180,59,0,4,1,0,0,1
"723",145,60,0,6,2,0,1,0
"724",86,56,0,7,1,0,1,0
"725",154,67,0,12,1,0,0,1
"726",107,63,0,8,1,0,1,0
"727",122,64,0,14,4,0,1,0
